Venue,team1,team2,toss_winner,toss_decision,winner,result_margin,target_runs
Mumbai,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,8,201
Bengaluru,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,6,198
Chennai,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,Chennai Super Kings,15,173
Chennai,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,Mumbai Indians,81,183
Ahmedabad,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,Gujarat Titans,62,234
Ahmedabad,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,5,171
Chennai,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,bat,Chennai Super Kings,6,174
Mohali,Delhi Capitals,Punjab Kings,Punjab Kings,field,Punjab Kings,4,175
Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,4,209
Jaipur,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,bat,Rajasthan Royals,20,194
Ahmedabad,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,Gujarat Titans,6,169
Bengaluru,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,4,177
Chennai,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,Chennai Super Kings,63,207
Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Sunrisers Hyderabad,31,278
Jaipur,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Rajasthan Royals,12,186
Bengaluru,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,7,183
Lucknow,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,bat,Lucknow Super Giants,21,200
Ahmedabad,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,bat,Gujarat Titans,7,163
Visakhapatnam,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Delhi Capitals,20,192
Mumbai,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,6,126
Bengaluru,Lucknow Super Giants,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Lucknow Super Giants,28,182
Visakhapatnam,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Kolkata Knight Riders,106,273
Ahmedabad,Gujarat Titans,Punjab Kings,Punjab Kings,field,Punjab Kings,3,200
Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,6,166
Jaipur,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,6,184
Mumbai,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,29,235
Lucknow,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,bat,Lucknow Super Giants,33,164
Chennai,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,7,138
Mohali,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Sunrisers Hyderabad,2,183
Jaipur,Rajasthan Royals,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,3,197
Mumbai,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,7,197
Lucknow,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,bat,Delhi Capitals,6,168
Mohali,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,3,148
Kolkata,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,8,162
Mumbai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,20,207
Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Sunrisers Hyderabad,25,288
Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,2,224
Ahmedabad,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,6,90
Mohali,Mumbai Indians,Punjab Kings,Punjab Kings,field,Mumbai Indians,9,193
Lucknow,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,8,177
Delhi,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,67,267
Kolkata,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Kolkata Knight Riders,1,223
Mohali,Punjab Kings,Gujarat Titans,Punjab Kings,bat,Gujarat Titans,3,143
Jaipur,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,9,180
Chennai,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,6,211
Delhi,Delhi Capitals,Gujarat Titans,Gujarat Titans,field,Delhi Capitals,4,225
Hyderabad,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,35,207
Kolkata,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Punjab Kings,8,262
Delhi,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Delhi Capitals,10,258
Lucknow,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,7,197
Ahmedabad,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,9,201
Chennai,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings,78,213
Kolkata,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Kolkata Knight Riders,7,154
Lucknow,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,4,145
Chennai,Chennai Super Kings,Punjab Kings,Punjab Kings,field,Punjab Kings,7,163
Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,1,202
Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,24,170
Bengaluru,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,4,148
Dharamsala,Chennai Super Kings,Punjab Kings,Punjab Kings,field,Chennai Super Kings,28,168
Lucknow,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,field,Kolkata Knight Riders,98,236
Mumbai,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,7,174
Delhi,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals,20,222
Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,bat,Sunrisers Hyderabad,10,166
Dharamsala,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,Royal Challengers Bengaluru,60,242
Ahmedabad,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,Gujarat Titans,35,232
Kolkata,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,18,158
Chennai,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,5,142
Bengaluru,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bengaluru,47,188
Delhi,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,field,Delhi Capitals,19,209
Guwahati,Rajasthan Royals,Punjab Kings,Rajasthan Royals,bat,Punjab Kings,5,145
Mumbai,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,Lucknow Super Giants,18,215
Bengaluru,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bengaluru,27,219
Hyderabad,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,Sunrisers Hyderabad,4,215
Ahmedabad,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,8,160
Ahmedabad,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,4,173
Chennai,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sunrisers Hyderabad,36,176
Chennai,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,8,114
